Category: All categories

Month,big data: (United Kingdom)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,11
2005-06,8
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,9
2005-12,8
2006-01,13
2006-02,0
2006-03,0
2006-04,6
2006-05,9
2006-06,0
2006-07,7
2006-08,9
2006-09,0
2006-10,0
2006-11,5
2006-12,0
2007-01,10
2007-02,4
2007-03,5
2007-04,4
2007-05,5
2007-06,7
2007-07,6
2007-08,6
2007-09,5
2007-10,6
2007-11,3
2007-12,3
2008-01,6
2008-02,4
2008-03,4
2008-04,6
2008-05,6
2008-06,6
2008-07,7
2008-08,5
2008-09,5
2008-10,5
2008-11,8
2008-12,3
2009-01,6
2009-02,4
2009-03,6
2009-04,5
2009-05,6
2009-06,6
2009-07,5
2009-08,6
2009-09,8
2009-10,4
2009-11,4
2009-12,6
2010-01,7
2010-02,4
2010-03,8
2010-04,5
2010-05,5
2010-06,6
2010-07,5
2010-08,8
2010-09,5
2010-10,6
2010-11,5
2010-12,4
2011-01,8
2011-02,8
2011-03,7
2011-04,6
2011-05,8
2011-06,8
2011-07,10
2011-08,7
2011-09,10
2011-10,13
2011-11,15
2011-12,13
2012-01,15
2012-02,21
2012-03,22
2012-04,23
2012-05,29
2012-06,27
2012-07,25
2012-08,26
2012-09,32
2012-10,37
2012-11,42
2012-12,34
2013-01,44
2013-02,51
2013-03,47
2013-04,65
2013-05,49
2013-06,54
2013-07,51
2013-08,48
2013-09,58
2013-10,59
2013-11,67
2013-12,47
2014-01,67
2014-02,67
2014-03,83
2014-04,71
2014-05,69
2014-06,75
2014-07,67
2014-08,58
2014-09,71
2014-10,80
2014-11,76
2014-12,62
2015-01,77
2015-02,87
2015-03,83
2015-04,74
2015-05,72
2015-06,73
2015-07,66
2015-08,59
2015-09,75
2015-10,79
2015-11,84
2015-12,84
2016-01,90
2016-02,100
2016-03,89
2016-04,85
2016-05,77
2016-06,68
2016-07,66
2016-08,59
2016-09,70
2016-10,83
2016-11,91
2016-12,73
2017-01,79
2017-02,84
2017-03,94
2017-04,72
2017-05,83
2017-06,72
2017-07,71
2017-08,67
2017-09,76
2017-10,85
2017-11,86
2017-12,55
2018-01,74
2018-02,76
2018-03,78
2018-04,70
2018-05,73
2018-06,62
2018-07,59
2018-08,64
2018-09,64
2018-10,72
2018-11,76
2018-12,52
2019-01,61
2019-02,66
2019-03,70
2019-04,71
2019-05,59
2019-06,56
2019-07,54
2019-08,55
2019-09,61
2019-10,74
2019-11,80
2019-12,66
2020-01,77
2020-02,81
2020-03,70
2020-04,63
2020-05,67
2020-06,62
2020-07,66
2020-08,64
2020-09,70
2020-10,73
2020-11,75
2020-12,63
2021-01,64
2021-02,59
2021-03,59
2021-04,50
2021-05,46
2021-06,42
2021-07,38
2021-08,31
2021-09,44
2021-10,48
2021-11,67
2021-12,56
2022-01,70
2022-02,80
2022-03,68
2022-04,60
2022-05,63
2022-06,50
2022-07,44
2022-08,45
2022-09,61
2022-10,59
2022-11,62
2022-12,51
2023-01,59
2023-02,58
2023-03,58
2023-04,46
2023-05,51
2023-06,42
2023-07,37
2023-08,37
2023-09,56
2023-10,51
2023-11,52
2023-12,43
2024-01,46
2024-02,51
2024-03,53
2024-04,49
2024-05,51
2024-06,41
2024-07,39
2024-08,38
2024-09,61
2024-10,47
2024-11,46
2024-12,36
2025-01,46
2025-02,47
