Subject of study,England,Wales,Scotland,Northern Ireland,Other UK,Total UK,European Union,Non-European Union,Total Non-UK,Not known,Total
01 Medicine and dentistry,"52,915","2,590","5,820","2,550",140,"64,015","3,285","9,750","13,035",0,"77,050"
02 Subjects allied to medicine,"248,160","15,645","28,125","10,985",405,"303,315","9,615","21,055","30,670",100,"334,085"
03 Biological and sport sciences,"83,205","5,815","8,745","2,625",310,"100,700","7,360","9,260","16,620",0,"117,320"
04 Psychology,"101,600","6,595","8,615","2,620",230,"119,665","7,035","8,385","15,420",0,"135,085"
05 Veterinary sciences,"7,680",470,995,300,25,"9,475",565,"1,535","2,100",0,"11,575"
"06 Agriculture, food and related studies","11,270","1,120","2,310",625,40,"15,370",865,"2,195","3,055",0,"18,425"
07 Physical sciences,"45,605","2,585","5,465","1,265",120,"55,035","5,220","7,920","13,140",20,"68,195"
09 Mathematical sciences,"28,570","1,400","2,980",955,85,"33,985","3,265","11,280","14,545",0,"48,530"
10 Engineering and technology,"94,830","6,310","14,285","4,110",225,"119,760","12,105","51,270","63,375",25,"183,165"
11 Computing,"84,610","5,635","10,955","5,800",190,"107,185","10,830","35,805","46,640",5,"153,830"
"13 Architecture, building and planning","37,835","2,050","4,510","1,680",85,"46,160","3,155","12,920","16,075",0,"62,235"
"26 Geography, earth and environmental studies (natural sciences)","22,090","1,520","2,565",875,95,"27,150","1,455","3,795","5,250",0,"32,400"
Total science CAH level 1,"818,360","51,730","95,380","34,390","1,950","1,001,805","64,755","175,170","239,925",155,"1,241,890"
15 Social sciences,"191,835","14,205","17,680","6,485",435,"230,640","15,110","36,820","51,930",20,"282,595"
16 Law,"94,730","5,330","7,485","2,685",295,"110,525","6,715","20,905","27,620",0,"138,145"
17 Business and management,"255,520","11,295","22,045","8,000",540,"297,400","32,110","145,630","177,740",5,"475,145"
19 Language and area studies,"63,130","3,680","6,865","2,030",195,"75,900","5,825","10,905","16,730",0,"92,635"
"20 Historical, philosophical and religious studies","63,310","3,110","6,200","1,470",210,"74,300","4,350","7,340","11,690",0,"85,990"
22 Education and teaching,"97,365","7,790","13,265","3,905",185,"122,510","2,365","11,135","13,500",20,"136,030"
23 Combined and general studies,"25,650","3,690","9,345","2,005",30,"40,725","1,205","2,600","3,805",0,"44,530"
"24 Media, journalism and communications","28,235","1,590","2,710","1,160",85,"33,780","3,855","9,990","13,845",0,"47,630"
"25 Design, and creative and performing arts","127,820","7,580","9,755","3,260",520,"148,930","16,040","25,155","41,195",55,"190,180"
"26 Geography, earth and environmental studies (social sciences)","9,060",380,535,155,45,"10,180",575,"1,575","2,150",0,"12,330"
Total non-science CAH level 1,"956,655","58,650","95,885","31,155","2,540","1,144,890","88,155","272,055","360,210",100,"1,505,205"
Total,"1,775,015","110,380","191,265","65,545","4,495","2,146,700","152,910","447,225","600,135",255,"2,747,090"
