UKPRN,HE provider,01 Medicine and dentistry,02 Subjects allied to medicine,03 Biological and sport sciences,04 Psychology,05 Veterinary sciences,"06 Agriculture, food and related studies",07 Physical sciences,09 Mathematical sciences,10 Engineering and technology,11 Computing,"13 Architecture, building and planning","26 Geography, earth and environmental studies (natural sciences)",15 Social sciences,16 Law,17 Business and management,19 Language and area studies,"20 Historical, philosophical and religious studies",22 Education and teaching,23 Combined and general studies,"24 Media, journalism and communications","25 Design, and creative and performing arts","26 Geography, earth and environmental studies (social sciences)",Total
10007856,Aberystwyth University,0,125,785,470,0,490,245,140,115,680,0,285,720,330,640,880,395,940,0,540,515,110,"8,415"
10007857,Bangor University,170,"1,700","1,705","1,210",0,295,0,0,215,345,0,395,730,505,"1,765",510,340,470,0,160,200,115,"10,825"
10007814,Cardiff University,"2,735","5,110","1,695","1,330",0,0,"1,320",785,"1,965","1,620","1,335",735,"2,660","1,860","2,755","2,020","1,455",330,"1,445",980,250,345,"32,725"
10007854,Cardiff Metropolitan University,0,"1,310","2,235",685,0,270,0,0,265,"1,025",165,0,695,295,"3,895",80,0,"1,370",45,75,"1,140",0,"13,545"
10030408,Gower College Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40
10007820,Grŵp Llandrillo Menai,0,205,30,0,0,20,0,0,55,45,30,0,80,0,45,5,0,70,205,25,55,0,875
10009614,Grŵp NPTC Group,0,0,15,0,0,5,0,0,45,20,55,0,30,0,0,0,0,0,0,0,10,0,190
10007773,The Open University,0,630,345,"2,385",0,0,285,290,480,"1,075",0,385,"2,505",775,"1,280",465,515,900,"2,375",0,115,15,"14,820"
10007855,Swansea University,565,"3,380","1,440","1,025",0,0,440,190,"3,000","1,525",0,310,"2,635","1,215","2,885",490,540,420,985,380,0,85,"21,510"
10007858,University of Wales Trinity Saint David,0,220,340,160,0,55,0,0,"1,080","1,005",250,40,"2,375","1,410","6,570",300,455,"1,185",0,0,"1,280",0,"16,720"
10007793,University of South Wales,55,"5,200","1,670",865,85,90,360,105,"1,825","1,515",580,115,"1,500","2,960","4,550",80,135,"1,330",130,465,"2,500",75,"26,180"
10007833,Wrexham University,0,"1,235",105,280,55,105,110,50,570,900,75,0,800,70,"2,255",145,40,"1,130",60,85,480,0,"8,545"
,Total,"3,525","19,115","10,370","8,410",140,"1,340","2,755","1,560","9,605","9,755","2,490","2,265","14,730","9,420","26,670","4,970","3,885","8,140","5,250","2,705","6,545",745,"154,385"
