Category: All categories

Month,data science: (United Kingdom)
2004-01,14
2004-02,0
2004-03,0
2004-04,12
2004-05,0
2004-06,14
2004-07,16
2004-08,0
2004-09,8
2004-10,12
2004-11,11
2004-12,0
2005-01,14
2005-02,15
2005-03,12
2005-04,0
2005-05,10
2005-06,8
2005-07,6
2005-08,8
2005-09,7
2005-10,9
2005-11,8
2005-12,8
2006-01,7
2006-02,5
2006-03,9
2006-04,9
2006-05,12
2006-06,8
2006-07,4
2006-08,4
2006-09,9
2006-10,8
2006-11,8
2006-12,6
2007-01,6
2007-02,5
2007-03,8
2007-04,7
2007-05,7
2007-06,6
2007-07,6
2007-08,4
2007-09,8
2007-10,7
2007-11,8
2007-12,7
2008-01,7
2008-02,8
2008-03,6
2008-04,8
2008-05,5
2008-06,7
2008-07,6
2008-08,3
2008-09,7
2008-10,8
2008-11,7
2008-12,5
2009-01,6
2009-02,7
2009-03,8
2009-04,6
2009-05,7
2009-06,6
2009-07,4
2009-08,4
2009-09,6
2009-10,8
2009-11,10
2009-12,7
2010-01,6
2010-02,8
2010-03,9
2010-04,7
2010-05,7
2010-06,6
2010-07,5
2010-08,4
2010-09,6
2010-10,6
2010-11,7
2010-12,5
2011-01,8
2011-02,8
2011-03,8
2011-04,6
2011-05,7
2011-06,6
2011-07,3
2011-08,3
2011-09,6
2011-10,7
2011-11,7
2011-12,5
2012-01,7
2012-02,8
2012-03,8
2012-04,7
2012-05,8
2012-06,5
2012-07,5
2012-08,5
2012-09,7
2012-10,9
2012-11,8
2012-12,5
2013-01,8
2013-02,8
2013-03,9
2013-04,9
2013-05,9
2013-06,9
2013-07,6
2013-08,6
2013-09,9
2013-10,11
2013-11,11
2013-12,9
2014-01,11
2014-02,14
2014-03,13
2014-04,11
2014-05,13
2014-06,14
2014-07,11
2014-08,9
2014-09,15
2014-10,16
2014-11,16
2014-12,13
2015-01,17
2015-02,19
2015-03,18
2015-04,19
2015-05,21
2015-06,19
2015-07,16
2015-08,16
2015-09,21
2015-10,23
2015-11,23
2015-12,20
2016-01,23
2016-02,24
2016-03,25
2016-04,23
2016-05,27
2016-06,25
2016-07,22
2016-08,21
2016-09,26
2016-10,34
2016-11,33
2016-12,25
2017-01,36
2017-02,37
2017-03,43
2017-04,35
2017-05,41
2017-06,36
2017-07,33
2017-08,35
2017-09,42
2017-10,48
2017-11,45
2017-12,33
2018-01,46
2018-02,47
2018-03,48
2018-04,45
2018-05,45
2018-06,44
2018-07,42
2018-08,41
2018-09,54
2018-10,53
2018-11,53
2018-12,40
2019-01,53
2019-02,57
2019-03,58
2019-04,52
2019-05,55
2019-06,58
2019-07,59
2019-08,54
2019-09,66
2019-10,69
2019-11,69
2019-12,58
2020-01,68
2020-02,72
2020-03,64
2020-04,58
2020-05,65
2020-06,67
2020-07,69
2020-08,65
2020-09,71
2020-10,70
2020-11,67
2020-12,53
2021-01,60
2021-02,61
2021-03,60
2021-04,52
2021-05,55
2021-06,51
2021-07,46
2021-08,45
2021-09,56
2021-10,61
2021-11,67
2021-12,54
2022-01,83
2022-02,98
2022-03,86
2022-04,77
2022-05,84
2022-06,77
2022-07,70
2022-08,73
2022-09,85
2022-10,94
2022-11,91
2022-12,64
2023-01,91
2023-02,90
2023-03,100
2023-04,86
2023-05,83
2023-06,75
2023-07,80
2023-08,73
2023-09,91
2023-10,89
2023-11,93
2023-12,76
2024-01,95
2024-02,100
2024-03,95
2024-04,89
2024-05,85
2024-06,83
2024-07,80
2024-08,72
2024-09,97
2024-10,100
2024-11,95
2024-12,76
2025-01,94
2025-02,96
